image,top1,top2,top3,self_score
nm0000102_rm2559482112_1958-7-8_1999.jpg,nm0000403_rm39432960_1964-1-27_1994.wav (11.8677),nm0001303_rm934129152_1971-8-29_2012.wav (11.8555),nm0000216_rm1108654080_1947-7-30_1988.wav (11.8229),10.6401
nm0000102_rm2698090752_1958-7-8_2007.jpg,nm0001303_rm934129152_1971-8-29_2012.wav (11.3075),nm0000216_rm1108654080_1947-7-30_1988.wav (11.1340),nm0002102_rm2398332160_1943-5-31_2007.wav (10.9828),10.3059
nm0000112_rm2522401024_1953-5-16_2014.jpg,nm0001303_rm934129152_1971-8-29_2012.wav (12.1385),nm0005310_rm192648192_1931-8-25_2005.wav (12.0562),nm0000216_rm1108654080_1947-7-30_1988.wav (12.0380),11.325
nm0000213_rm3775764480_1971-10-29_1996.jpg,nm0000216_rm1108654080_1947-7-30_1988.wav (10.9230),nm0001303_rm934129152_1971-8-29_2012.wav (10.8601),nm0000403_rm39432960_1964-1-27_1994.wav (10.7818),10.034
nm0000213_rm423139328_1971-10-29_1995.jpg,nm0000112_rm2522401024_1953-5-16_2014.wav (10.6537),nm0000216_rm1108654080_1947-7-30_1988.wav (10.5450),nm0000403_rm39432960_1964-1-27_1994.wav (10.4216),10.0833
nm0000216_rm1108654080_1947-7-30_1988.jpg,nm0001303_rm934129152_1971-8-29_2012.wav (11.9873),nm0000216_rm1108654080_1947-7-30_1988.wav (11.9338),nm0000403_rm39432960_1964-1-27_1994.wav (11.8477),11.9338
nm0000216_rm3778776576_1947-7-30_1994.jpg,nm0005310_rm192648192_1931-8-25_2005.wav (12.4704),nm0001303_rm934129152_1971-8-29_2012.wav (12.2338),nm0000216_rm1108654080_1947-7-30_1988.wav (12.1633),10.8426
nm0000401_rm3956641280_1961-7-30_2000.jpg,nm0194516_rm851947008_1977-5-20_2009.wav (11.9695),nm0005310_rm192648192_1931-8-25_2005.wav (11.7256),nm0000213_rm3775764480_1971-10-29_1996.wav (11.5842),10.9252
nm0000403_rm39432960_1964-1-27_1994.jpg,nm0001303_rm934129152_1971-8-29_2012.wav (11.9277),nm0000216_rm1108654080_1947-7-30_1988.wav (11.7313),nm0001401_rm940147712_1975-6-4_1999.wav (11.7208),11.6268
nm0000602_rm948948480_1936-8-18_1972.jpg,nm0000213_rm3775764480_1971-10-29_1996.wav (11.5777),nm0194516_rm851947008_1977-5-20_2009.wav (11.3744),nm0001401_rm2398456832_1975-6-4_2005.wav (11.3698),11.1805
nm0000613_rm614635776_1965-1-9_2003.jpg,nm0001303_rm934129152_1971-8-29_2012.wav (11.9383),nm0000216_rm1108654080_1947-7-30_1988.wav (11.7850),nm0000403_rm39432960_1964-1-27_1994.wav (11.7056),11.2049
nm0000701_rm3505428736_1975-10-5_2003.jpg,nm0000216_rm1108654080_1947-7-30_1988.wav (10.4030),nm0000403_rm39432960_1964-1-27_1994.wav (10.3834),nm0001303_rm934129152_1971-8-29_2012.wav (10.3528),9.6598
nm0000702_rm1819902976_1976-3-22_2010.jpg,nm0194516_rm851947008_1977-5-20_2009.wav (10.1718),nm0005310_rm192648192_1931-8-25_2005.wav (9.9981),nm0001303_rm934129152_1971-8-29_2012.wav (9.8830),7.0045
nm0000702_rm3346110720_1976-3-22_2002.jpg,nm0194516_rm851947008_1977-5-20_2009.wav (11.1313),nm0001303_rm934129152_1971-8-29_2012.wav (11.0358),nm0000216_rm1108654080_1947-7-30_1988.wav (10.9448),8.2009
nm0000902_rm1135131392_1954-6-15_2000.jpg,nm0194516_rm851947008_1977-5-20_2009.wav (12.1160),nm0000216_rm1108654080_1947-7-30_1988.wav (12.1152),nm0005310_rm192648192_1931-8-25_2005.wav (12.0783),11.3846
nm0001302_rm4059207936_1948-2-5_2003.jpg,nm0001303_rm934129152_1971-8-29_2012.wav (12.6870),nm0005310_rm192648192_1931-8-25_2005.wav (12.6326),nm0001401_rm2398456832_1975-6-4_2005.wav (12.5350),12.1253
nm0001303_rm934129152_1971-8-29_2012.jpg,nm0000216_rm1108654080_1947-7-30_1988.wav (11.9198),nm0000403_rm39432960_1964-1-27_1994.wav (11.7771),nm0001401_rm940147712_1975-6-4_1999.wav (11.7483),11.4039
nm0001401_rm2398456832_1975-6-4_2005.jpg,nm0001303_rm934129152_1971-8-29_2012.wav (10.4960),nm0000216_rm1108654080_1947-7-30_1988.wav (10.4683),nm0000403_rm39432960_1964-1-27_1994.wav (10.4426),9.9392
nm0001401_rm869570304_1975-6-4_2008.jpg,nm0000112_rm2522401024_1953-5-16_2014.wav (9.8889),nm0005310_rm192648192_1931-8-25_2005.wav (9.7997),nm0001303_rm934129152_1971-8-29_2012.wav (9.7604),4.9212
