image,top1,top2,top3,self_score
nm0000102_rm2559482112_1958-7-8_1999.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.5535),nm0000216_rm1108654080_1947-7-30_1988.wav (12.1014),nm0001302_rm4059207936_1948-2-5_2003.wav (12.0545),9.428
nm0000102_rm2698090752_1958-7-8_2007.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.9294),nm0000216_rm1108654080_1947-7-30_1988.wav (11.4947),nm0001302_rm4059207936_1948-2-5_2003.wav (11.1686),6.0638
nm0000112_rm2522401024_1953-5-16_2014.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.8293),nm0000112_rm2522401024_1953-5-16_2014.wav (12.6969),nm0000216_rm1108654080_1947-7-30_1988.wav (12.4674),12.6969
nm0000213_rm3775764480_1971-10-29_1996.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.6237),nm0000216_rm1108654080_1947-7-30_1988.wav (11.1444),nm0001302_rm4059207936_1948-2-5_2003.wav (11.0932),9.6412
nm0000213_rm423139328_1971-10-29_1995.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.2342),nm0000112_rm2522401024_1953-5-16_2014.wav (10.7736),nm0000216_rm1108654080_1947-7-30_1988.wav (10.7478),7.8397
nm0000216_rm1108654080_1947-7-30_1988.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.5696),nm0000216_rm1108654080_1947-7-30_1988.wav (12.0794),nm0000112_rm2522401024_1953-5-16_2014.wav (11.7962),12.0794
nm0000216_rm3778776576_1947-7-30_1994.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.7262),nm0000216_rm1108654080_1947-7-30_1988.wav (12.4804),nm0001303_rm934129152_1971-8-29_2012.wav (12.3330),10.5375
nm0000401_rm3956641280_1961-7-30_2000.jpg,nm0000112_rm2522401024_1953-5-16_2014.wav (11.9314),nm0001710_rm1442438400_1966-11-2_1994.wav (11.8233),nm0001302_rm4059207936_1948-2-5_2003.wav (11.6610),11.0586
nm0000403_rm39432960_1964-1-27_1994.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.4516),nm0001302_rm4059207936_1948-2-5_2003.wav (11.9452),nm0000216_rm1108654080_1947-7-30_1988.wav (11.9136),9.9869
nm0000602_rm948948480_1936-8-18_1972.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.6621),nm0000112_rm2522401024_1953-5-16_2014.wav (11.5354),nm0001302_rm4059207936_1948-2-5_2003.wav (11.4771),10.7315
nm0000613_rm614635776_1965-1-9_2003.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.3512),nm0000216_rm1108654080_1947-7-30_1988.wav (11.9235),nm0000401_rm3956641280_1961-7-30_2000.wav (11.5756),11.2278
nm0000701_rm3505428736_1975-10-5_2003.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.0608),nm0000216_rm1108654080_1947-7-30_1988.wav (10.5086),nm0001302_rm4059207936_1948-2-5_2003.wav (10.2828),9.8752
nm0000702_rm1819902976_1976-3-22_2010.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (10.6570),nm0000112_rm2522401024_1953-5-16_2014.wav (10.5471),nm0001302_rm4059207936_1948-2-5_2003.wav (10.2990),7.3457
nm0000702_rm3346110720_1976-3-22_2002.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.7629),nm0000112_rm2522401024_1953-5-16_2014.wav (11.5141),nm0000216_rm1108654080_1947-7-30_1988.wav (11.5094),9.4002
nm0000902_rm1135131392_1954-6-15_2000.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.9121),nm0001302_rm4059207936_1948-2-5_2003.wav (12.5042),nm0000112_rm2522401024_1953-5-16_2014.wav (12.4918),9.3606
nm0001302_rm4059207936_1948-2-5_2003.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (13.2654),nm0001302_rm4059207936_1948-2-5_2003.wav (12.9531),nm0000112_rm2522401024_1953-5-16_2014.wav (12.8717),12.9531
nm0001303_rm934129152_1971-8-29_2012.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.2024),nm0000216_rm1108654080_1947-7-30_1988.wav (11.7693),nm0001302_rm4059207936_1948-2-5_2003.wav (11.4886),11.1825
nm0001401_rm2398456832_1975-6-4_2005.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.2422),nm0000216_rm1108654080_1947-7-30_1988.wav (10.9783),nm0000112_rm2522401024_1953-5-16_2014.wav (10.7309),7.4968
nm0001401_rm869570304_1975-6-4_2008.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (10.7094),nm0000112_rm2522401024_1953-5-16_2014.wav (10.3209),nm0000216_rm1108654080_1947-7-30_1988.wav (10.3032),5.1022
nm0001401_rm940147712_1975-6-4_1999.jpg,nm0000112_rm2522401024_1953-5-16_2014.wav (12.1697),nm0001303_rm934129152_1971-8-29_2012.wav (11.9106),nm0001710_rm1442438400_1966-11-2_1994.wav (11.9065),10.2992
nm0001710_rm1442438400_1966-11-2_1994.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.1502),nm0000216_rm1108654080_1947-7-30_1988.wav (10.7811),nm0001302_rm4059207936_1948-2-5_2003.wav (10.5726),11.1502
nm0002102_rm2398332160_1943-5-31_2007.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (11.2299),nm0000216_rm1108654080_1947-7-30_1988.wav (10.9721),nm0000401_rm3956641280_1961-7-30_2000.wav (10.5747),9.3209
nm0005310_rm192648192_1931-8-25_2005.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (12.3806),nm0000216_rm1108654080_1947-7-30_1988.wav (12.2321),nm0001302_rm4059207936_1948-2-5_2003.wav (12.1774),11.1765
nm0005403_rm1286387712_1980-6-26_2007.jpg,nm0001710_rm1442438400_1966-11-2_1994.wav (13.8476),nm0000112_rm2522401024_1953-5-16_2014.wav (13.5965),nm0001302_rm4059207936_1948-2-5_2003.wav (13.3862),11.0619
